Fragment,Count,Time (ms),Size (bytes)
Cross.canonical-index,2,0,104488
Cross.codesystem-list,2,1,258
Cross.codesystem-ref-all-list,2,28,73562
Cross.codesystem-ref-list,2,11,45756
Cross.cross-version-analysis,2,0,0
Cross.cross-version-analysis-inline,2,0,0
Cross.deleted-extensions,2,0,24
Cross.dependency-table,2,4785,96008
Cross.dependency-table-nontech,2,684,16594
Cross.dependency-table-short,2,256,50518
Cross.deprecated-list,2,3,56
Cross.expansion-params,2,0,492
Cross.extension-list,2,0,2154
Cross.extension-list-,460,24,749118
Cross.extension-search-list,324,1,6156
Cross.globals-table,2,0,128
Cross.ip-statements,2,178,73542
Cross.list-accounts,2,0,0
Cross.list-accounts-json,2,0,0
Cross.list-accounts-xml,2,2,0
Cross.list-activitydefinitions,2,0,0
Cross.list-activitydefinitions-json,2,0,0
Cross.list-activitydefinitions-xml,2,0,0
Cross.list-actordefinitions,2,0,0
Cross.list-actordefinitions-json,2,2,0
Cross.list-actordefinitions-xml,2,2,0
Cross.list-administrableproductdefinitions,2,0,0
Cross.list-administrableproductdefinitions-json,2,1,0
Cross.list-administrableproductdefinitions-xml,2,2,0
Cross.list-adverseevents,2,0,0
Cross.list-adverseevents-json,2,2,0
Cross.list-adverseevents-xml,2,2,0
Cross.list-allergyintolerances,2,0,0
Cross.list-allergyintolerances-json,2,2,0
Cross.list-allergyintolerances-xml,2,2,0
Cross.list-appointmentresponses,2,0,0
Cross.list-appointmentresponses-json,2,2,0
Cross.list-appointmentresponses-xml,2,2,0
Cross.list-appointments,2,0,0
Cross.list-appointments-json,2,1,0
Cross.list-appointments-xml,2,1,0
Cross.list-artifactassessments,2,0,0
Cross.list-artifactassessments-json,2,0,0
Cross.list-artifactassessments-xml,2,2,0
Cross.list-auditevents,2,0,0
Cross.list-auditevents-json,2,0,0
Cross.list-auditevents-xml,2,1,0
Cross.list-basics,2,0,0
Cross.list-basics-json,2,0,0
Cross.list-basics-xml,2,1,0
Cross.list-binaries,2,0,170
Cross.list-binaries-json,2,1,180
Cross.list-binaries-xml,2,1,178
Cross.list-biologicallyderivedproductdispenses,2,0,0
Cross.list-biologicallyderivedproductdispenses-json,2,0,0
Cross.list-biologicallyderivedproductdispenses-xml,2,1,0
Cross.list-biologicallyderivedproducts,2,0,0
Cross.list-biologicallyderivedproducts-json,2,1,0
Cross.list-biologicallyderivedproducts-xml,2,2,0
Cross.list-bodystructures,2,0,0
Cross.list-bodystructures-json,2,1,0
Cross.list-bodystructures-xml,2,2,0
Cross.list-bundles,2,0,0
Cross.list-bundles-json,2,0,0
Cross.list-bundles-xml,2,2,0
Cross.list-byid-accounts,2,0,0
Cross.list-byid-accounts-json,2,1,0
Cross.list-byid-accounts-xml,2,2,0
Cross.list-byid-activitydefinitions,2,0,0
Cross.list-byid-activitydefinitions-json,2,0,0
Cross.list-byid-activitydefinitions-xml,2,2,0
Cross.list-byid-actordefinitions,2,1,0
Cross.list-byid-actordefinitions-json,2,1,0
Cross.list-byid-actordefinitions-xml,2,1,0
Cross.list-byid-administrableproductdefinitions,2,0,0
Cross.list-byid-administrableproductdefinitions-json,2,2,0
Cross.list-byid-administrableproductdefinitions-xml,2,2,0
Cross.list-byid-adverseevents,2,0,0
Cross.list-byid-adverseevents-json,2,1,0
Cross.list-byid-adverseevents-xml,2,2,0
Cross.list-byid-allergyintolerances,2,0,0
Cross.list-byid-allergyintolerances-json,2,1,0
Cross.list-byid-allergyintolerances-xml,2,1,0
Cross.list-byid-appointmentresponses,2,0,0
Cross.list-byid-appointmentresponses-json,2,1,0
Cross.list-byid-appointmentresponses-xml,2,1,0
Cross.list-byid-appointments,2,0,0
Cross.list-byid-appointments-json,2,1,0
Cross.list-byid-appointments-xml,2,1,0
Cross.list-byid-artifactassessments,2,0,0
Cross.list-byid-artifactassessments-json,2,1,0
Cross.list-byid-artifactassessments-xml,2,2,0
Cross.list-byid-auditevents,2,0,0
Cross.list-byid-auditevents-json,2,0,0
Cross.list-byid-auditevents-xml,2,1,0
Cross.list-byid-basics,2,0,0
Cross.list-byid-basics-json,2,0,0
Cross.list-byid-basics-xml,2,2,0
Cross.list-byid-binaries,2,0,170
Cross.list-byid-binaries-json,2,1,180
Cross.list-byid-binaries-xml,2,2,178
Cross.list-byid-biologicallyderivedproductdispenses,2,0,0
Cross.list-byid-biologicallyderivedproductdispenses-json,2,1,0
Cross.list-byid-biologicallyderivedproductdispenses-xml,2,1,0
Cross.list-byid-biologicallyderivedproducts,2,0,0
Cross.list-byid-biologicallyderivedproducts-json,2,1,0
Cross.list-byid-biologicallyderivedproducts-xml,2,2,0
Cross.list-byid-bodystructures,2,0,0
Cross.list-byid-bodystructures-json,2,2,0
Cross.list-byid-bodystructures-xml,2,2,0
Cross.list-byid-bundles,2,0,0
Cross.list-byid-bundles-json,2,1,0
Cross.list-byid-bundles-xml,2,2,0
Cross.list-byid-canonicalresources,2,0,0
Cross.list-byid-canonicalresources-json,2,1,0
Cross.list-byid-canonicalresources-xml,2,1,0
Cross.list-byid-capabilitystatements,2,0,0
Cross.list-byid-capabilitystatements-json,2,1,0
Cross.list-byid-capabilitystatements-xml,2,2,0
Cross.list-byid-careplans,2,0,0
Cross.list-byid-careplans-json,2,0,0
Cross.list-byid-careplans-xml,2,1,0
Cross.list-byid-careteams,2,0,0
Cross.list-byid-careteams-json,2,1,0
Cross.list-byid-careteams-xml,2,2,0
Cross.list-byid-chargeitemdefinitions,2,0,0
Cross.list-byid-chargeitemdefinitions-json,2,2,0
Cross.list-byid-chargeitemdefinitions-xml,2,2,0
Cross.list-byid-chargeitems,2,0,0
Cross.list-byid-chargeitems-json,2,0,0
Cross.list-byid-chargeitems-xml,2,2,0
Cross.list-byid-citations,2,0,0
Cross.list-byid-citations-json,2,2,0
Cross.list-byid-citations-xml,2,2,0
Cross.list-byid-claimresponses,2,0,0
Cross.list-byid-claimresponses-json,2,0,0
Cross.list-byid-claimresponses-xml,2,1,0
Cross.list-byid-claims,2,0,0
Cross.list-byid-claims-json,2,0,0
Cross.list-byid-claims-xml,2,1,0
Cross.list-byid-clinicalimpressions,2,0,0
Cross.list-byid-clinicalimpressions-json,2,1,0
Cross.list-byid-clinicalimpressions-xml,2,2,0
Cross.list-byid-clinicalusedefinitions,2,0,0
Cross.list-byid-clinicalusedefinitions-json,2,1,0
Cross.list-byid-clinicalusedefinitions-xml,2,2,0
Cross.list-byid-codesystems,2,0,0
Cross.list-byid-codesystems-json,2,1,0
Cross.list-byid-codesystems-xml,2,2,0
Cross.list-byid-communicationrequests,2,0,0
Cross.list-byid-communicationrequests-json,2,1,0
Cross.list-byid-communicationrequests-xml,2,1,0
Cross.list-byid-communications,2,0,0
Cross.list-byid-communications-json,2,2,0
Cross.list-byid-communications-xml,2,2,0
Cross.list-byid-compartmentdefinitions,2,0,0
Cross.list-byid-compartmentdefinitions-json,2,1,0
Cross.list-byid-compartmentdefinitions-xml,2,1,0
Cross.list-byid-compositions,2,0,0
Cross.list-byid-compositions-json,2,2,0
Cross.list-byid-compositions-xml,2,2,0
Cross.list-byid-conceptmaps,2,0,0
Cross.list-byid-conceptmaps-json,2,1,0
Cross.list-byid-conceptmaps-xml,2,2,0
Cross.list-byid-conditiondefinitions,2,0,0
Cross.list-byid-conditiondefinitions-json,2,1,0
Cross.list-byid-conditiondefinitions-xml,2,2,0
Cross.list-byid-conditions,2,0,0
Cross.list-byid-conditions-json,2,0,0
Cross.list-byid-conditions-xml,2,2,0
Cross.list-byid-consents,2,0,0
