Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.cda.fr.document-core.json	115394	-	0	0	0	0	0	0	28	111	0	0	0	0	0	0	0	3	0	0	39	439	878	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-FRCDAMaterialPharm.json	11891	15	0	42	2	0	0	0	0	111	0	0	1	0	0	0	0	0	0	0	4	244	1487	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-cisis-addr.json	10642	7	0	115	0	0	0	0	0	94	0	0	1	0	1	0	0	3	0	0	2	896	3001	0	0	0	10	1	3
fsh-generated/resources/StructureDefinition-cisis-telecom.json	2582	3	0	7	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	73	255	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-cda-accidents-transfusionnels.json	7070	6	0	46	0	0	0	0	0	41	0	0	0	0	0	0	0	1	0	0	2	269	713	0	1	0	5	1	0
fsh-generated/resources/StructureDefinition-fr-cda-acte-substitution.json	4385	7	0	15	0	0	0	0	0	26	0	0	1	0	1	0	0	0	0	0	1	175	660	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-fr-cda-acte.json	18083	12	0	176	0	0	0	0	0	100	0	0	1	0	0	0	0	1	0	0	3	597	1620	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-fr-cda-administration-de-derives-du-sang.json	6833	7	0	25	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	1	247	683	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-fr-cda-allergie-ou-hypersensibilite.json	15695	10	0	138	0	0	0	0	0	81	0	0	1	0	0	0	0	2	0	0	3	604	1598	0	0	0	11	0	2
fsh-generated/resources/StructureDefinition-fr-cda-allergies-et-hypersensibilites.json	5699	4	0	37	0	0	0	0	0	32	0	0	0	0	1	0	0	0	0	0	1	201	443	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-fr-cda-antecedent-familial-observe.json	7778	6	0	31	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	0	1	272	578	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-fr-cda-antecedents-familiaux.json	6885	5	0	34	0	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	2	263	550	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-fr-cda-antecedents-medicaux.json	5162	4	0	17	1	0	0	0	0	26	0	0	0	0	1	0	0	1	0	0	1	180	406	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-fr-cda-assigned-author.json	6363	5	0	14	0	0	0	0	0	126	0	0	1	0	0	0	0	0	0	0	1	151	297	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-cda-assigned-custodian.json	2609	3	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	67	243	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-cda-assigned-entity.json	6037	4	0	5	0	0	0	0	0	22	0	0	1	0	1	0	0	0	0	0	1	177	339	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-fr-cda-assigned-person.json	3362	4	0	5	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	100	255	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-cda-associated-entity.json	5055	5	0	19	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	133	289	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-cda-authenticator.json	3766	4	0	9	0	0	0	0	0	22	0	0	1	0	1	0	0	0	0	0	1	118	272	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-fr-cda-author.json	4068	4	0	5	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	1	139	288	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-cda-authoring-device.json	2540	3	0	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	82	242	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-fr-cda-authorization.json	3075	4	0	10	0	0	0	0	0	16	0	0	1	0	1	0	0	0	0	0	1	118	312	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-cda-autorisation-substitution.json	4486	5	0	11	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	1	160	389	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-cda-batterie-examens-de-biologie-medicale.json	13036	8	0	77	0	0	0	0	0	48	0	0	1	0	0	0	0	1	0	0	2	367	606	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-fr-cda-certitude.json	6490	5	0	12	1	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	1	242	501	0	0	0	5	0	1
