URL,Version,Status,OIDs,Name,Title,Description,Used
http://dicom.nema.org/resources/ontology/DCM,2022.4.20221006,active,"1.2.840.10008.2.16.4",DICOMTerminologyDefinitions,DICOM Controlled Terminology Definitions,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version 2022.4.20221006","ValueSet/jdv-quantite-exposition-rayonnements-cisis,ValueSet/jdv-imagerie-objectif-reference-cisis,ValueSet/jdv-modalite-acquisition-cisis"
http://hl7.org/cda/stds/core/CodeSystem/BinaryDataEncoding,2.0.3-sd,draft,,BinaryDataEncoding,Binary Data Encoding Code System,"Identifies the representation of binary data in a text field","ValueSet/BinaryDataEncoding"
http://hl7.org/fhir/allergy-intolerance-criticality,5.0.0,active,"2.16.840.1.113883.4.642.1.120,2.16.840.1.113883.4.642.4.130,2.16.840.1.113883.4.642.2.51",AllergyIntoleranceCriticality,Allergy Intolerance Criticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","ValueSet/jdv-hl7-allergy-intolerance-criticality-cisis"
http://hl7.org/fhir/uv/ips/CodeSystem/absent-unknown-uv-ips,1.1.0,active,,AbsentAndUnknownDataUvIps,Absent and Unknown Data - IPS,"International Patient Summary (IPS) codes for ""known absent"" and ""not known"" data.","ValueSet/jdv-absent-or-unknown-allergy-cisis"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/jdv-code-document-imagerie-cisis,ValueSet/jdv-social-history-code-cisis,ValueSet/jdv-type-directive-anticipee-cisis,ValueSet/jdv-signe-vital-cisis,ValueSet/doc-typecodes,ValueSet/jdv-resultat-type-cisis"
http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20260701,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT core,"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/jdv-imputabilite-cisis,ValueSet/jdv-gravite-cisis,ValueSet/jdv-statut-document-cisis,ValueSet/jdv-evaluation-douleur-cisis,ValueSet/jdv-type-evenement-indesirable-previsible-cisis,ValueSet/jdv-health-status-code-cisis,ValueSet/jdv-modificateur-topographique-cisis,ValueSet/jdv-modalite-entree-cisis,ValueSet/jdv-modalite-sortie-cisis,ValueSet/jdv-immunization-approach-site-code-cisis,ValueSet/jdv-type-directive-anticipee-cisis,ValueSet/jdv-evolution-cisis,ValueSet/jdv-code-probleme-cisis,ValueSet/jdv-origine-effet-indesirable-cisis,ValueSet/jdv-human-substance-administration-site-cisis"
http://terminology.hl7.org/CodeSystem/condition-ver-status,2.0.1,active,"2.16.840.1.113883.4.642.1.1075",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/jdv-hl7-condition-ver-status-cisis"
http://terminology.hl7.org/CodeSystem/naics,2.0.1,retired,"2.16.840.1.113883.6.85",Naics,North American Industry Classification System,"North American Industry Classification System(NAICS) for the United States, a new economic classification system that replaces the 1987 Standard Industrial Classification (SIC) for statistical purposes. NAICS is a system for classifying establishments by type of economic activity. Its purposes are: (1) to facilitate the collection, tabulation, presentation, and analysis of data relating to establishments, and (2) to promote uniformity and comparability in the presentation of statistical data describing the economy. NAICS will be used by Federal statistical agencies that collect or publish data by industry.","ValueSet/v3-OrganizationIndustryClassNAICS"
http://terminology.hl7.org/CodeSystem/v2-0487,3.0.0,active,"2.16.840.1.113883.18.311",SpecimenType,specimenType,"HL7-defined code system of concepts that describe the precise nature of an entity that may be used as the source material for an observation.  This is one of two code systems that are used instead of table 0070 (code system 2.16.840.1.113883.18.28) which conflated specimen types and specimen collection methods.   Used in HL7 Version 2.x messaging in the SPM segment.","ValueSet/jdv-specimen-type-cisis"
http://terminology.hl7.org/CodeSystem/v3-ActClass,5.0.0,active,"2.16.840.1.113883.5.6",ActClass,ActClass,"A code specifying the major type of Act that this Act-instance represents.    *Constraints:* The classCode domain is a tightly controlled vocabulary, not an external or user-defined vocabulary.    Every Act-instance must have a classCode. If the act class is not further specified, the most general Act.classCode (ACT) is used.    The Act.classCode must be a generalization of the specific Act concept (e.g., as expressed in Act.code), in other words, the Act concepts conveyed in an Act must be specializations of the Act.classCode. Especially, Act.code is not a ""modifier"" that can alter the meaning of a class code. (See Act.code for contrast.)","ValueSet/v3-ActClassProcedure,ValueSet/v3-xActClassDocumentEntryOrganizer,ValueSet/v3-ActClassClinicalDocument,ValueSet/v3-ActClassRecordOrganizer,ValueSet/CDAActClassObservation,ValueSet/CDAActClass,ValueSet/v3-ActClassDocument,ValueSet/v3-xActClassDocumentEntryAct,ValueSet/v3-ActClassSupply"
